STATEFIP,State,state_code,uninsured,Year
27,Minnesota,MN,0.08249279106452147,2015
28,Mississippi,MS,0.24761760194065643,2015
29,Missouri,MO,0.18083752069788614,2015
30,Montana,MT,0.2021351942053419,2015
31,Nebraska,NE,0.14385174268396245,2015
32,Nevada,NV,0.2085871955720112,2015
33,New Hampshire,NH,0.12203218183864072,2015
34,New Jersey,NJ,0.1602708664364038,2015
35,New Mexico,NM,0.19841084462982272,2015
36,New York,NY,0.12394398822906087,2015
37,North Carolina,NC,0.2061910600513814,2015
38,North Dakota,ND,0.10393647247383375,2015
39,Ohio,OH,0.1197133262436525,2015
40,Oklahoma,OK,0.2511972114108825,2015
41,Oregon,OR,0.13196227874720115,2015
42,Pennsylvania,PA,0.11891049586056096,2015
44,Rhode Island,RI,0.09322247710873303,2015
45,South Carolina,SC,0.1980749276244939,2015
46,South Dakota,SD,0.21126192851456613,2015
47,Tennessee,TN,0.1858297029067482,2015
48,Texas,TX,0.28946161788916014,2015
49,Utah,UT,0.15766777548635896,2015
50,Vermont,VT,0.08643030652732958,2015
51,Virginia,VA,0.15544261118650388,2015
53,Washington,WA,0.11907704240671135,2015
54,West Virginia,WV,0.11026518279654463,2015
55,Wisconsin,WI,0.10963834249094978,2015
56,Wyoming,WY,0.17232355499778954,2015
1,Alabama,AL,0.19034342215886244,2016
2,Alaska,AK,0.21190174120655725,2016
4,Arizona,AZ,0.17458624061138991,2016
5,Arkansas,AR,0.16453350149958107,2016
6,California,CA,0.11873438207527744,2016
8,Colorado,CO,0.12421463702552242,2016
9,Connecticut,CT,0.07936455949098248,2016
10,Delaware,DE,0.10945105176281374,2016
11,District of Columbia,DC,0.04814754921569796,2016
12,Florida,FL,0.22780683432275511,2016
13,Georgia,GA,0.23455141470047558,2016
15,Hawaii,HI,0.05392327445521743,2016
16,Idaho,ID,0.18145908630622676,2016
17,Illinois,IL,0.11285757874730161,2016
18,Indiana,IN,0.14021321984054544,2016
19,Iowa,IA,0.07195415716623206,2016
20,Kansas,KS,0.15530203064021267,2016
21,Kentucky,KY,0.09960100457934497,2016
22,Louisiana,LA,0.19606760011693536,2016
23,Maine,ME,0.1268119340930667,2016
24,Maryland,MD,0.11041778976721718,2016
25,Massachusetts,MA,0.043307517078778335,2016
26,Michigan,MI,0.10260754139668826,2016
27,Minnesota,MN,0.0679168368531911,2016
28,Mississippi,MS,0.23202602423602098,2016
29,Missouri,MO,0.16896894195451456,2016
30,Montana,MT,0.1373592961856306,2016
31,Nebraska,NE,0.15098914720265644,2016
32,Nevada,NV,0.18454499537744012,2016
33,New Hampshire,NH,0.1201263496999892,2016
34,New Jersey,NJ,0.14246756657928483,2016
35,New Mexico,NM,0.14665837697979076,2016
36,New York,NY,0.10121170636890424,2016
37,North Carolina,NC,0.18199279407730468,2016
38,North Dakota,ND,0.10874901855551249,2016
39,Ohio,OH,0.1060146604564689,2016
40,Oklahoma,OK,0.2436380838873126,2016
41,Oregon,OR,0.10179689577962091,2016
42,Pennsylvania,PA,0.10922608272872682,2016
44,Rhode Island,RI,0.08589059632314057,2016
45,South Carolina,SC,0.1763898347803238,2016
46,South Dakota,SD,0.16633143118236313,2016
47,Tennessee,TN,0.1578173489089143,2016
48,Texas,TX,0.28154874043155187,2016
49,Utah,UT,0.12400050751919842,2016
50,Vermont,VT,0.05347237467983901,2016
51,Virginia,VA,0.144111329651139,2016
53,Washington,WA,0.1046464928972668,2016
54,West Virginia,WV,0.1056977507624534,2016
