State,Total,With health insurance coverage,No health insurance coverage,year,state_code,uninsured
Utah,3051217,2783337,267880,2016,UT,0.087794477
Vermont,624594,602470,22124,2016,VT,0.03542141
Virginia,8411808,7659348,752460,2016,VA,0.089452826
Washington,7288000,6848899,439101,2016,WA,0.060249863
West Virginia,1831102,1732100,99002,2016,WV,0.054066895
Wisconsin,5778709,5464369,314340,2016,WI,0.054396233
Wyoming,585501,520012,65489,2016,WY,0.111851218
Alabama,4858979,4337298,521681,2015,AL,0.107364325
Alaska,738432,630962,107470,2015,AK,0.145538113
Arizona,6828065,6035642,792423,2015,AZ,0.116053816
Arkansas,2978204,2684465,293739,2015,AR,0.098629577
California,39144818,35730306,3414512,2015,CA,0.087227689
Colorado,5456574,5011290,445284,2015,CO,0.081605051
Connecticut,3590886,3374738,216148,2015,CT,0.060193501
Delaware,945934,887186,58748,2015,DE,0.062105813
District of Columbia,672228,647214,25014,2015,DC,0.037210589
Florida,20271272,17467043,2804229,2015,FL,0.138335128
Georgia,10214860,8737067,1477793,2015,GA,0.144670901
Hawaii,1431603,1376367,55236,2015,HI,0.038583322
Idaho,1654930,1461997,192933,2015,ID,0.116580762
Illinois,12859995,11927397,932598,2015,IL,0.072519313
Indiana,6619680,5943814,675866,2015,IN,0.102099497
Iowa,3123899,2967128,156771,2015,IA,0.050184401
Kansas,2911641,2635738,275903,2015,KS,0.094758591
Kentucky,4425092,4136236,288856,2015,KY,0.065276835
Louisiana,4670724,4069444,601280,2015,LA,0.128733789
Maine,1329328,1215261,114067,2015,ME,0.085808017
Maryland,6006401,5591034,415367,2015,MD,0.069154057
Massachusetts,6794422,6597547,196875,2015,MA,0.028975975
Michigan,9922576,9297699,624877,2015,MI,0.06297528
Minnesota,5489594,5237395,252199,2015,MN,0.045941285
Mississippi,2992333,2592726,399607,2015,MS,0.133543626
Missouri,6083672,5476883,606789,2015,MO,0.099740584
Montana,1032949,911315,121634,2015,MT,0.11775412
Nebraska,1896190,1746469,149721,2015,NE,0.07895886
Nevada,2890845,2530293,360552,2015,NV,0.12472201
New Hampshire,1330608,1239098,91510,2015,NH,0.068773072
New Jersey,8958013,8154083,803930,2015,NJ,0.089744232
New Mexico,2085109,1851926,233183,2015,NM,0.111832523
New York,19795791,18382343,1413448,2015,NY,0.071401441
North Carolina,10042802,8902335,1140467,2015,NC,0.113560638
North Dakota,756928,694738,62190,2015,ND,0.082161051
Ohio,11613423,10822952,790471,2015,OH,0.06806529
Oklahoma,3911338,3340158,571180,2015,OK,0.146031869
Oregon,4028977,3741066,287911,2015,OR,0.071460075
Pennsylvania,12802503,11944569,857934,2015,PA,0.06701299
Rhode Island,1056298,1001378,54920,2015,RI,0.051992904
South Carolina,4896146,4349850,546296,2015,SC,0.111576738
South Dakota,858469,759335,99134,2015,SD,0.11547767
Tennessee,6600299,5904329,695970,2015,TN,0.105445223
Texas,27469114,22650382,4818732,2015,TX,0.175423641
Utah,2995919,2669589,326330,2015,UT,0.108924841
Vermont,626042,599967,26075,2015,VT,0.04165056
Virginia,8382993,7590313,792680,2015,VA,0.094558113
Washington,7170351,6696153,474198,2015,WA,0.066133164
West Virginia,1844128,1734172,109956,2015,WV,0.059624928
